rep_product_id,brand,model,category,capacity,variants,min_price,coupang_search_url,coupang_url
205,니모이큅먼트,드라곤플라이 오스모 2P,백패킹텐트,2,1,521530,https://www.coupang.com/np/search?q=%EB%8B%88%EB%AA%A8%EC%9D%B4%ED%81%85%EB%A8%BC%ED%8A%B8+%EB%93%9C%EB%9D%BC%EA%B3%A4%ED%94%8C%EB%9D%BC%EC%9D%B4+%EC%98%A4%EC%8A%A4%EB%AA%A8+2P,https://link.coupang.com/a/ewtS6b4dsi
590,니모이큅먼트,드라곤플라이 오스모 3P,백패킹텐트,3,1,557700,https://www.coupang.com/np/search?q=%EB%8B%88%EB%AA%A8%EC%9D%B4%ED%81%85%EB%A8%BC%ED%8A%B8+%EB%93%9C%EB%9D%BC%EA%B3%A4%ED%94%8C%EB%9D%BC%EC%9D%B4+%EC%98%A4%EC%8A%A4%EB%AA%A8+3P,https://link.coupang.com/a/ewtU5bNM0y
37,니모이큅먼트,아톰 오스모 2P,백패킹텐트,2,1,448800,https://www.coupang.com/np/search?q=%EB%8B%88%EB%AA%A8%EC%9D%B4%ED%81%85%EB%A8%BC%ED%8A%B8+%EC%95%84%ED%86%B0+%EC%98%A4%EC%8A%A4%EB%AA%A8+2P,https://link.coupang.com/a/ewtKnL7dNQ
321,니모이큅먼트,오로라 2P,백패킹텐트,2,1,385200,https://www.coupang.com/np/search?q=%EB%8B%88%EB%AA%A8%EC%9D%B4%ED%81%85%EB%A8%BC%ED%8A%B8+%EC%98%A4%EB%A1%9C%EB%9D%BC+2P,https://link.coupang.com/a/ewt6rWozDM
244,니모이큅먼트,오로라 릿지 2P,백패킹텐트,2,1,310800,https://www.coupang.com/np/search?q=%EB%8B%88%EB%AA%A8%EC%9D%B4%ED%81%85%EB%A8%BC%ED%8A%B8+%EC%98%A4%EB%A1%9C%EB%9D%BC+%EB%A6%BF%EC%A7%80+2P,https://link.coupang.com/a/ewupdoMMbA
83,니모이큅먼트,코디악 2P 텐트,백패킹텐트,2,1,632500,https://www.coupang.com/np/search?q=%EB%8B%88%EB%AA%A8%EC%9D%B4%ED%81%85%EB%A8%BC%ED%8A%B8+%EC%BD%94%EB%94%94%EC%95%85+2P+%ED%85%90%ED%8A%B8,https://link.coupang.com/a/ewuj1iKbim
85,니모이큅먼트,쿠나이 2P,백패킹텐트,2,1,666480,https://www.coupang.com/np/search?q=%EB%8B%88%EB%AA%A8%EC%9D%B4%ED%81%85%EB%A8%BC%ED%8A%B8+%EC%BF%A0%EB%82%98%EC%9D%B4+2P,https://link.coupang.com/a/ewuhB4YsVg
180,니모이큅먼트,트래커 오스모 1P,백패킹텐트,1,1,574600,https://www.coupang.com/np/search?q=%EB%8B%88%EB%AA%A8%EC%9D%B4%ED%81%85%EB%A8%BC%ED%8A%B8+%ED%8A%B8%EB%9E%98%EC%BB%A4+%EC%98%A4%EC%8A%A4%EB%AA%A8+1P,https://link.coupang.com/a/ewufB7XOY8
251,니모이큅먼트,트래커 오스모 2P,백패킹텐트,2,1,691200,https://www.coupang.com/np/search?q=%EB%8B%88%EB%AA%A8%EC%9D%B4%ED%81%85%EB%A8%BC%ED%8A%B8+%ED%8A%B8%EB%9E%98%EC%BB%A4+%EC%98%A4%EC%8A%A4%EB%AA%A8+2P,https://link.coupang.com/a/ewuesEGJCm
105,니모이큅먼트,호넷 엘리트 오스모 1P,백패킹텐트,1,1,592200,https://www.coupang.com/np/search?q=%EB%8B%88%EB%AA%A8%EC%9D%B4%ED%81%85%EB%A8%BC%ED%8A%B8+%ED%98%B8%EB%84%B7+%EC%97%98%EB%A6%AC%ED%8A%B8+%EC%98%A4%EC%8A%A4%EB%AA%A8+1P,https://link.coupang.com/a/ewusLocbjE
